Id;País;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;Quantidade;Valor
64;Hungria;0;0;0;0;0;0;540;4103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;583;627;4686
65;Ilha de Man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;175;11;121;97;445;136;741
66;Ilhas Virgens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;India;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;273;7;10;13;86;71;369
68;Indonésia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;0;5;6
69;Irã;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;35;116;287;137;322
70;Iraque;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;Irlanda;0;0;0;0;0;0;3969;42795;5376;35690;0;0;0;0;0;0;0;0;0;0;0;0;7560;25767;0;0;29;257;36;208;16970;104717
72;Itália;7209;19860;0;0;1817;5251;1458;4828;11999;80298;792;5622;1710;11967;604;2492;0;0;585;3465;468;2248;3661;13260;587;1625;91;376;696;3715;31677;155007
73;Jamaica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;Japão;357943;316867;232293;178333;217974;283436;112178;74628;100835;144662;29281;116961;91988;429088;106426;401774;31597;87853;34341;90954;33909;92886;36992;112342;40621;99642;36442;92674;39491;90275;1502311;2612375
75;Jordânia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;52;0;0;12;52
76;Letônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;387;3723;0;0;0;0;0;0;0;0;387;3723
77;Líbano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;Libéria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;658;3100;4441;20068;5155;17624;7554;23060;17808;63852
79;Luxemburgo;785;2033;13606;42341;7845;42124;7344;32549;9547;65592;2444;16547;5135;29474;8281;52400;2295;17358;2759;21426;2719;21947;1778;11053;1666;11211;1086;5110;0;0;67290;371165
80;Malásia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;33;48;110;0;0;0;0;63;143
81;Malta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;503;1192;3661;8828;3490;9688;3441;15454;11095;35162
82;Marshall, Ilhas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;923;2436;7276;15786;6270;19639;8644;22561;23113;60422
83;Mauritânia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;85;9;85
84;México;2453;15425;0;0;0;0;0;0;1350;7200;0;0;0;0;1521;24336;0;0;0;0;664;2292;2748;9744;4;4;24;226;9;2;8773;59229
85;Montenegro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;46;9;20;14;65;32;131
86;Namibia;0;0;340;722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;340;722
87;Nicaragua;0;0;0;0;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;24
